Transaction files: 2, Total Count: 15855,Time Taken: 2897s, Throughput: 5.47, Average: 182.67ms, Median: 104ms, 95: 325ms, 99: 402ms
Transaction name: Ord, Total time: 0, Total count: 136 

Transaction name: Pop, Total time: 0, Total count: 127 

Transaction name: New, Total time: 0, Total count: 10702 

Transaction name: Rel, Total time: 984, Total count: 69 

Transaction name: Pay, Total time: 5, Total count: 2241 

Transaction name: Del, Total time: 0, Total count: 2451 

Transaction name: Sto, Total time: 0, Total count: 129 

Total transaction count: 15855
