Transaction files: 12, Total Count: 8598,Time Taken: 1712s, Throughput: 5.02, Average: 199.12ms, Median: 110ms, 95: 340ms, 99: 420ms
Transaction name: Ord, Total time: 0, Total count: 126 

Transaction name: Pop, Total time: 0, Total count: 130 

Transaction name: New, Total time: 0, Total count: 4773 

Transaction name: Rel, Total time: 561, Total count: 60 

Transaction name: Pay, Total time: 7, Total count: 1450 

Transaction name: Del, Total time: 0, Total count: 1905 

Transaction name: Sto, Total time: 0, Total count: 154 

Total transaction count: 8598
