Transaction files: 1, Total Count: 25055,Time Taken: 2368s, Throughput: 10.58, Average: 94.51ms, Median: 11ms, 95: 188ms, 99: 376ms
Transaction name: Ord, Total time: 0, Total count: 122 

Transaction name: Pop, Total time: 0, Total count: 131 

Transaction name: New, Total time: 0, Total count: 4727 

Transaction name: Rel, Total time: 1017, Total count: 61 

Transaction name: Pay, Total time: 91, Total count: 18690 

Transaction name: Del, Total time: 40, Total count: 1183 

Transaction name: Sto, Total time: 0, Total count: 141 

Total transaction count: 25055
